monitor_id,auc_en,auc_vi,auc_cs,auc_gap_vi,auc_gap_cs,fnr_gap_vi,fnr_gap_cs,shift_vi_mean,shift_vi_std,shift_cs_mean,shift_cs_std
baseline@deepseek:deepseek-chat,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.9361,0.1667,3.592
baseline@gemini:gemini-2.5-flash,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-3.0,15.68,-3.1667,15.6736
locale_aware@deepseek:deepseek-chat,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,3.0371,0.3333,1.2685
locale_aware@gemini:gemini-2.5-flash,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.8333,10.1271,-0.5,1.5256
translate_then@deepseek:deepseek-chat,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,4.0151,-0.5,3.3088
translate_then@gemini:gemini-2.5-flash,1.0,0.995,0.9875,0.005,0.0125,0.0,0.05,-4.3333,18.3704,-3.1667,17.4437
